"apple_id","cust_id","password"
1,50001,"isa23J"
2,50002,"d4phn3#"
3,50003,"r4ygreEn"
4,50004,"panicspark123"
5,50005,"josh277*B"
6,50006,"fionab993q"
7,50007,"breathingH2o"
8,50008,"halloffame123"
9,50008,"halloffame123"
10,50009,"kpossible99"
11,50010,"fearless13"
12,50011,"newyearseve2021"
13,50012,"leeAndrew321"
14,50013,"ben10ftw"
15,50014,"danparkerman55"
16,50015,"$araCanfly"
17,50016,"kirasatudua3"
18,50017,"edwin5hAw?"
19,50018,"milesaway1211"
20,50019,"mattlee365"
21,50020,"darcmillions255"
22,50021,"ramleeburger1999"
23,50022,"absawyou2233"
24,50023,"ezpz947@#"
25,50024,"newton2306%"
26,50025,"joshgardensB4Y"
27,50026,"tia7white#"
28,50027,"bbbenz10+"
29,50028,"amberone223"
30,50029,"brigneyspears123"
31,50030,"luck112233"
32,50031,"emmastonewitha!"
33,50032,"icecreamscoop231"
34,50033,"emnyone23"
35,50034,"johncena212"
36,50035,"oliviagames4546"
37,50036,"phillipslight05"
38,50037,"sophyoung789#"
39,50038,"ritaora&kpossib13"
40,50039,"melonmusk44"
41,50040,"kleinhobbs993"
42,50041,"bikins1110%"
43,50042,"jackjackj532"
44,50043,"joe@0205"
45,50044,"serenawillwin111"
46,50045,"yasminC95="
47,50046,"jasminerice90"
48,50047,"mayaheemayahaha"
49,50048,"geraldcarvroom15"
50,50049,"nienonieno"
51,50050,"madismiff2899"
