"cust_id","c_firstname","c_surname","c_birthdate","c_gender","c_contact"
50001,"Isabelle","Olson","2001-09-10","F","410-562-8643"
50002,"Daphne","Morrison","2000-01-31","F","223-636-2238"
50003,"Ray","Green","1995-03-05","M","440-731-6693"
50004,"Nicholas","Sparks","1998-05-21","M","520-828-3824"
50005,"Joshua","McKenzie","1999-08-04","M","207-256-2765"
50006,"Fiona","Brady","2000-07-08","F","6011-290-0414"
50007,"Bethany","Manning","1995-03-02","F","724-379-7733"
50008,"Simon","Hall","1993-12-07","M","206-267-6945"
50009,"Desmond","Kim","2001-10-21","M","304-458-1441"
50010,"Taylor","Swift","2000-06-30","M","6010-405-3587"
50011,"Eve","Janes","1995-12-05","F","725-376-5474"
50012,"Andrew","Lee","1990-08-22","M","424-788-0286"
50013,"Brandon","Bennett","1995-12-11","M","220-267-2607"
50014,"Danny","Parker","1990-03-06","M","310-838-6164"
50015,"Sara","Flynn","1989-05-25","F","304-303-7670"
50016,"Kira","Snyder","1999-04-28","F","412-347-6226"
50017,"Edwin","Shaw","2000-09-17","M","415-262-2692"
50018,"Miles","Ellis","1995-11-18","M","303-463-2740"
50019,"Matthew","Lee","1998-06-23","M","346-283-7600"
50020,"Darcie","Mills","1999-06-04","F","220-967-6907"
50021,"Mark","Lee","2000-07-12","M","309-362-5248"
50022,"Abby","Sawyer","1995-01-02","F","6012-259-6163"
50023,"Ellie","Zong","1993-07-22","F","262-681-2021"
50024,"Jess","Newton","2001-09-10","F","214-580-0513"
50025,"Joshua","Gardner","2001-11-12","M","408-588-1492"
50026,"Tia","White","2000-01-30","F","617-982-5427"
50027,"Bryan","Benson","1995-02-05","M","806-406-4504"
50028,"Amber","Liu","1990-02-08","F","423-754-9978"
50029,"Chester","Briggs","1995-02-12","M","415-761-0785"
50030,"Jeremiah","Lucas","1990-03-06","M","530-805-3638"
50031,"Anna","Stone","1989-05-05","F","206-348-0670"
50032,"Lisa","Cooper","1999-04-18","F","309-569-2251"
50033,"Emily","Nguyen","2000-07-08","F","319-909-2135"
50034,"Johnny","See","1995-03-02","M","906-286-2197"
50035,"Olivia","Owen","1993-12-07","F","707-573-9351"
50036,"Justin","Phillips","2001-11-10","M","516-778-3401"
50037,"Sophie","Young","2000-01-30","F","505-354-1635"
50038,"Rita","Kim","1995-02-05","F","205-623-9811"
50039,"Elon","Musk","1990-02-01","M","229-955-4352"
50040,"Calvin","Hobbs","1995-02-11","M","326-677-5321"
50041,"Bill","Jenkins","1990-03-01","M","214-521-2579"
50042,"Jack","Lynch","1989-05-05","M","206-258-7245"
50043,"Joe","Austin","1999-04-18","M","304-458-1441"
50044,"Serena","Willis","2000-08-17","F","610-435-5287"
50045,"Yasmin","Charles","1995-02-28","F","725-345-6574"
50046,"Jasmine","Marquez","1990-03-01","F","424-728-1236"
50047,"Maya","Quinn","1989-05-05","F","220-317-2307"
50048,"Gerald","Carter","1999-04-18","M","310-840-7764"
50049,"Melanie","Wong","2000-08-17","F","601-432-38870"
50050,"Maddie","Smith","1995-02-28","F","312-998-4591"
