"emp_id","emp_firstname","emp_surname","emp_gender","emp_birthdate","emp_contact","emp_workplace_id","date_hired","date_resigned","emp_position","reports_to","mth_salary"
7,"Joe","Jonas","M","2000-06-05","215-443-8345",NULL,"2012-08-08","2015-06-12","Retail",NULL,"2500.00"
8,"Benny","Sim","M","1985-09-27","725-389-2138",NULL,"2012-10-13",NULL,"Software Engineer",NULL,"8000.00"
9,"Takashi","Marumoto","M","1992-01-16","223-532-6793",NULL,"2013-11-06",NULL,"Chief Operating Officer",NULL,"9100.00"
10,"Selena","Gomez","F","1987-04-11","520-327-3424",NULL,"2016-07-26",NULL,"Manager",NULL,"5500.00"
11,"Tamia","Nguyen","F","1991-02-28","207-316-7256",NULL,"2015-07-04","2016-07-17","Manager",NULL,"5500.00"
12,"Chris","Perry","M","1991-03-30","318-930-6494",NULL,"2019-09-25",NULL,"Retail",NULL,"2500.00"
13,"Lilian","Carroll","F","1994-10-30","725-609-7733",NULL,"2016-09-24",NULL,"Marketing",NULL,"6000.00"
14,"Joel","Tan","M","1980-07-08","215-638-7345",NULL,"2009-11-16",NULL,"Hardware Engineer",NULL,"7500.00"
15,"Suzuki","Ayato","M","1976-04-20","304-473-1421",NULL,"2010-09-22",NULL,"Manager",NULL,"5500.00"
16,"Nellie","Palmer","F","1995-11-19","610-957-3247",NULL,"2016-05-17","2020-06-01","Retail",NULL,"2500.00"
17,"Dexter","Chan","M","1987-11-07","725-987-5452",NULL,"2017-01-18",NULL,"Human Resources",NULL,"3300.00"
18,"Chantelle","Lee","F","1988-10-01","424-768-7386",NULL,"2011-01-03",NULL,"Chief Operating Officer",NULL,"9100.00"
19,"Christine","Ford","F","1995-02-15","215-497-2607",NULL,"2019-05-22",NULL,"Retail",NULL,"2500.00"
20,"Tom","Miller","M","1986-12-12","310-844-6937",NULL,"2017-04-20","2019-08-08","Human Resources",NULL,"3300.00"
21,"Louis","Russell","M","1994-05-04","310-863-7570",NULL,"2015-06-06",NULL,"User Interface Designer",NULL,"4500.00"
22,"Hayley","Myers","F","1992-08-09","412-647-6273",NULL,"2019-08-31",NULL,"Communication",NULL,"3000.00"
23,"Jacob","Singh","M","1990-02-12","415-594-4863",NULL,"2014-04-11","2020-12-10","User Interface Designer",NULL,"4500.00"
24,"Robin","Coleman","M","1982-05-20","303-859-6040",NULL,"2010-08-13",NULL,"Software Engineer",NULL,"8000.00"
25,"Lewis","Kim","M","1989-09-08","415-594-4754",NULL,"2013-11-05",NULL,"Software Manager",NULL,"8800.00"
26,"Monica","Clarke","F","1987-03-13","220-447-9007",NULL,"2012-10-18",NULL,"Software Engineer",NULL,"8000.00"
27,"Charlie","Howell","M","1980-07-07","309-528-3253",NULL,"2011-10-05",NULL,"Senior Manager",NULL,"8500.00"
28,"Louisa","Allison","F","1980-01-07","410-472-0047",NULL,"2008-04-07",NULL,"Senior Chief Operating Officer",NULL,"9300.00"
29,"Nial","Russel","M","1994-05-19","262-681-2009",NULL,"2018-07-22",NULL,"Retail",NULL,"2500.00"
30,"Troy","Smith","M","1996-06-20","214-638-1995",NULL,"2017-04-05","2019-02-15","Retail",NULL,"2500.00"
31,"Fred","Pan","M","1991-01-31","408-619-3893",NULL,"2012-11-10",NULL,"Human Resources",NULL,"3300.00"
32,"Wayne","Fernandez","M","1987-05-04","617-386-5729",NULL,"2013-04-11",NULL,"Chief Design Officer",NULL,"9050.00"
